condition,n,projection_fraction_mean,nonnegative_reconstruction_fraction_mean,effective_support_size_mean,target_family_candidate_top1,target_family_candidate_rank_mean,target_family_contribution_share_mean
blue,98,0.09015876691415664,0.08936402636876675,13.673944561133428,0.7142857142857143,1.0,0.1496318537731786
book,98,0.07839063093878787,0.07769720539827768,14.074463491123478,0.5,1.0,0.0697392471277531
chair,100,0.06540416935816488,0.06461590161563673,13.977902275995078,0.83,1.0,0.15512946589100338
clock,99,0.08389355258284274,0.0831553082923897,13.720454925276998,0.8686868686868687,1.0,0.16692429085556268
cloud,99,0.08336365443361692,0.08274201777186993,13.887443081928394,0.8181818181818182,1.0,0.15909863799893237
dance,100,0.06912546954519487,0.06859133788286852,14.172579825857348,0.86,1.0,0.10317742651185274
flag,98,0.07933071757660436,0.07862095501908693,14.110257838448,0.6326530612244898,1.0,0.09141800177108943
flame,100,0.08831114732867304,0.08733352433343242,13.897527348203191,0.65,1.0,0.09010828109510724
gold,99,0.12027533335905397,0.11936685286194847,13.74029515396031,0.8585858585858586,1.0,0.17204575086578897
green,99,0.07726179426032508,0.07643833868309381,14.606280497494655,0.18181818181818182,1.0,0.02562551651068195
jump,100,0.08469127657052475,0.08378169373491126,14.243653836567779,0.64,1.1578947368421053,0.07306489043671863
leaf,98,0.07676726458515779,0.07605763892313794,14.33775334655216,0.37755102040816324,1.1590909090909092,0.04155316925522566
moon,99,0.07293959295092876,0.07218083363175629,13.609418137881402,0.898989898989899,1.0,0.17871371371547762
rock,99,0.0773972733063493,0.07642355748340518,14.055956332718322,0.898989898989899,1.0,0.14392226369434682
salt,99,0.08877591567583396,0.08795316190241681,13.37382696144875,0.8686868686868687,1.0,0.19909887863987857
ship,100,0.0627079699336335,0.06200836342964643,14.610201524316283,0.08,1.0,0.014005970713604397
smile,100,0.06571410397727045,0.06525156626332652,14.374272023968137,0.96,1.0,0.14708970984292238
snow,100,0.10248213933580294,0.10161778736486891,12.023832958451157,0.86,1.0,0.23825498244923352
song,99,0.06722340565413883,0.06665974564117828,13.734179392873974,0.8282828282828283,1.0,0.16546312839527239
wave,99,0.09113144777129942,0.09064523252429987,13.48271305882582,0.8585858585858586,1.0,0.1650364206602104
