left,right,metric,mean_delta,bootstrap_prompt_ci_low,bootstrap_prompt_ci_high,n_pairs
public_base_jspace_gp_k16,public_base_jlens_n1000,family_hit_at_1,-0.018658598083711547,-0.03680835020242915,-0.0020000000000000005,1983
public_base_jspace_gp_k16,public_base_jlens_n1000,family_hit_at_5,-0.0600100857286939,-0.08065785678137652,-0.041501973684210526,1983
public_base_jspace_gp_k16,public_base_jlens_n1000,family_hit_at_10,-0.07614725163893091,-0.09611538461538456,-0.05796933198380568,1983
public_base_jspace_gp_k16,public_base_jlens_n1000,family_mrr_at_10,-0.03681050836875338,-0.051956057180210145,-0.023558017615151666,1983
public_base_jspace_gp_k16,logit_lens,family_hit_at_1,0.1956631366616238,0.17673385627530372,0.21249999999999994,1983
public_base_jspace_gp_k16,logit_lens,family_hit_at_5,0.1573373676248109,0.1341769483805669,0.17885837550607286,1983
public_base_jspace_gp_k16,logit_lens,family_hit_at_10,0.10640443772062531,0.08407664473684211,0.12730870445344128,1983
public_base_jspace_gp_k16,logit_lens,family_mrr_at_10,0.17820782204292035,0.1609119680812608,0.19386882727652466,1983
public_base_jlens_n1000,logit_lens,family_hit_at_1,0.21432173474533536,0.19654220647773274,0.2336265182186234,1983
public_base_jlens_n1000,logit_lens,family_hit_at_5,0.21734745335350478,0.19798636133603245,0.23604665991902843,1983
public_base_jlens_n1000,logit_lens,family_hit_at_10,0.18255168935955624,0.16584205465587046,0.20049792510121456,1983
public_base_jlens_n1000,logit_lens,family_mrr_at_10,0.2150183304116735,0.19968350328947365,0.22951983337751428,1983
