method,condition,family_hit_at_1,family_hit_at_5,family_hit_at_10,family_mrr_at_10,n
logit_lens,blue,0.6122448979591837,0.6428571428571429,0.6938775510204082,0.6258341431810819,98
logit_lens,book,0.09183673469387756,0.32653061224489793,0.7551020408163265,0.24308794946550047,98
logit_lens,chair,0.02,0.8,0.92,0.3152142857142857,100
logit_lens,clock,0.2222222222222222,0.8080808080808081,0.8282828282828283,0.47349687349687347,99
logit_lens,cloud,0.5353535353535354,0.7373737373737373,0.7373737373737373,0.632996632996633,99
logit_lens,dance,0.19,0.21,0.22,0.19944444444444442,100
logit_lens,flag,0.42857142857142855,0.5,0.5408163265306123,0.4577380952380952,98
logit_lens,flame,0.0,0.03,0.04,0.01011111111111111,100
logit_lens,gold,0.8282828282828283,0.8484848484848485,0.8686868686868687,0.8351010101010101,99
logit_lens,green,0.5555555555555556,0.5555555555555556,0.6868686868686869,0.5714446047779381,99
logit_lens,jump,0.46,0.68,0.68,0.5683333333333334,100
logit_lens,leaf,0.030612244897959183,0.6530612244897959,0.6632653061224489,0.33191609977324266,98
logit_lens,moon,0.010101010101010102,0.18181818181818182,0.37373737373737376,0.09274490941157608,99
logit_lens,rock,0.15151515151515152,0.29292929292929293,0.5555555555555556,0.23273208273208273,99
logit_lens,salt,0.8888888888888888,0.898989898989899,0.898989898989899,0.8939393939393939,99
logit_lens,ship,0.0,0.02,0.02,0.0045000000000000005,100
logit_lens,smile,0.03,0.09,0.26,0.06857142857142856,100
logit_lens,snow,0.83,0.91,0.91,0.87,100
logit_lens,song,0.2222222222222222,0.42424242424242425,0.494949494949495,0.30667388167388165,99
logit_lens,wave,0.7575757575757576,0.8585858585858586,0.8585858585858586,0.8047138047138047,99
public_base_jlens_n1000,blue,0.5510204081632653,0.7959183673469388,0.8571428571428571,0.6482709750566893,98
public_base_jlens_n1000,book,0.7551020408163265,0.826530612244898,0.826530612244898,0.7874149659863946,98
public_base_jlens_n1000,chair,0.14,0.94,0.95,0.54,100
public_base_jlens_n1000,clock,0.8484848484848485,0.8484848484848485,0.8585858585858586,0.8501683501683502,99
public_base_jlens_n1000,cloud,0.7272727272727273,0.8181818181818182,0.8181818181818182,0.7643097643097644,99
public_base_jlens_n1000,dance,0.24,0.25,0.34,0.2571904761904762,100
public_base_jlens_n1000,flag,0.3469387755102041,0.5816326530612245,0.6020408163265306,0.4547619047619048,98
public_base_jlens_n1000,flame,0.11,0.12,0.17,0.11876190476190476,100
public_base_jlens_n1000,gold,0.8585858585858586,0.8686868686868687,0.8787878787878788,0.8622895622895622,99
public_base_jlens_n1000,green,0.5555555555555556,0.5555555555555556,0.6868686868686869,0.5702701619368286,99
public_base_jlens_n1000,jump,0.58,0.67,0.7,0.6175396825396825,100
public_base_jlens_n1000,leaf,0.23469387755102042,0.7448979591836735,0.7653061224489796,0.48100907029478457,98
public_base_jlens_n1000,moon,0.9393939393939394,0.9494949494949495,0.9494949494949495,0.9419191919191919,99
public_base_jlens_n1000,rock,0.8585858585858586,0.898989898989899,0.898989898989899,0.8787878787878788,99
public_base_jlens_n1000,salt,0.898989898989899,0.898989898989899,0.898989898989899,0.898989898989899,99
public_base_jlens_n1000,ship,0.44,0.77,0.83,0.5855238095238096,100
public_base_jlens_n1000,smile,0.22,0.63,0.92,0.39348015873015874,100
public_base_jlens_n1000,snow,0.93,0.94,0.94,0.9325,100
public_base_jlens_n1000,song,0.1919191919191919,0.8686868686868687,0.9191919191919192,0.495326278659612,99
public_base_jlens_n1000,wave,0.7272727272727273,0.8383838383838383,0.8383838383838383,0.7599326599326599,99
public_base_jspace_gp_k16,blue,0.6530612244897959,0.6938775510204082,0.7142857142857143,0.6671201814058957,98
public_base_jspace_gp_k16,book,0.17346938775510204,0.47959183673469385,0.5,0.3198979591836735,98
public_base_jspace_gp_k16,chair,0.82,0.83,0.83,0.825,100
public_base_jspace_gp_k16,clock,0.8484848484848485,0.8585858585858586,0.8686868686868687,0.8528619528619529,99
public_base_jspace_gp_k16,cloud,0.8080808080808081,0.8181818181818182,0.8181818181818182,0.8131313131313131,99
public_base_jspace_gp_k16,dance,0.25,0.59,0.85,0.3707539682539682,100
public_base_jspace_gp_k16,flag,0.5204081632653061,0.6224489795918368,0.6326530612244898,0.5635325558794947,98
public_base_jspace_gp_k16,flame,0.2,0.64,0.65,0.42111111111111116,100
public_base_jspace_gp_k16,gold,0.5252525252525253,0.8585858585858586,0.8585858585858586,0.6919191919191919,99
public_base_jspace_gp_k16,green,0.16161616161616163,0.16161616161616163,0.1717171717171717,0.16262626262626265,99
public_base_jspace_gp_k16,jump,0.02,0.58,0.68,0.29599603174603173,100
public_base_jspace_gp_k16,leaf,0.01020408163265306,0.336734693877551,0.3877551020408163,0.168140589569161,98
public_base_jspace_gp_k16,moon,0.8888888888888888,0.898989898989899,0.898989898989899,0.890909090909091,99
public_base_jspace_gp_k16,rock,0.8888888888888888,0.898989898989899,0.898989898989899,0.890909090909091,99
public_base_jspace_gp_k16,salt,0.8383838383838383,0.8383838383838383,0.8585858585858586,0.8410774410774411,99
public_base_jspace_gp_k16,ship,0.08,0.08,0.08,0.08,100
public_base_jspace_gp_k16,smile,0.85,0.96,0.96,0.9,100
public_base_jspace_gp_k16,snow,0.76,0.78,0.78,0.7675,100
public_base_jspace_gp_k16,song,0.6666666666666666,0.8181818181818182,0.8181818181818182,0.7424242424242424,99
public_base_jspace_gp_k16,wave,0.8080808080808081,0.8585858585858586,0.8585858585858586,0.8274410774410775,99
