prompt_id,prompt_type,condition,method,mean_target_logit_lift,mean_target_margin_shift,mean_target_rr_lift
direct_test_000,direct,blue,jlens,2.11328125,-0.1358309659090909,0.0001776500966691043
direct_test_000,direct,blue,logit_lens,0.5205300071022727,0.7460493607954546,2.611991140164262e-05
direct_test_000,direct,gold,jlens,1.5513139204545454,-0.19087357954545456,7.354097677930645e-05
direct_test_000,direct,gold,logit_lens,-0.06925825639204546,-0.9090423583984375,2.2027062886491846e-05
direct_test_001,direct,gold,jlens,2.987215909090909,0.4463778409090909,0.0011593440780172024
direct_test_001,direct,gold,logit_lens,0.3899147727272727,-0.5412375710227273,-3.972953044588427e-06
direct_test_002,direct,gold,jlens,3.921875,2.5,0.037519934908088685
direct_test_002,direct,gold,logit_lens,2.1966441761363638,1.5322043678977273,0.00989818746594122
direct_test_003,direct,blue,jlens,1.5850497159090908,1.3055752840909092,7.545716502468445e-05
direct_test_003,direct,blue,logit_lens,1.0451327237215908,1.3248013583096592,6.414456541852393e-05
direct_test_003,direct,gold,jlens,0.9350142045454546,-0.22017045454545456,4.1805609800145563e-05
direct_test_003,direct,gold,logit_lens,-0.10004771839488637,-0.6271209716796875,1.5747672539599068e-05
direct_test_004,direct,blue,jlens,2.18359375,1.8939985795454546,0.0007067057607906261
direct_test_004,direct,blue,logit_lens,1.6655717329545454,1.2626223130659624,0.00019455503246806468
direct_test_004,direct,gold,jlens,2.1362748579545454,1.5567294034090908,0.000400230769975288
direct_test_004,direct,gold,logit_lens,1.4573641690340908,0.7002951882102273,3.6932173168347654e-05
standard_test_000,standard,blue,jlens,4.4765625,1.4627130681818181,0.0014612570524692426
standard_test_000,standard,blue,logit_lens,1.7853227095170454,1.4746176979758523,6.949881158242035e-05
standard_test_000,standard,gold,jlens,5.252485795454546,2.844815340909091,0.0018373408293057914
standard_test_000,standard,gold,logit_lens,2.079190340909091,1.0669472434303977,5.803090146114345e-05
standard_test_001,standard,blue,jlens,4.244653181596235,1.8637827092950994,0.0007136411997713806
standard_test_001,standard,blue,logit_lens,2.621803977272727,1.52874755859375,7.424076098681881e-05
standard_test_001,standard,gold,jlens,5.539251154119318,2.542112177068537,0.0014453156013691654
standard_test_001,standard,gold,logit_lens,2.6595902876420454,0.8504860617897727,8.71296201122264e-05
standard_test_002,standard,blue,jlens,3.7169744318181817,0.8192249644886364,0.0008110416437394299
standard_test_002,standard,blue,logit_lens,1.0419588955965908,0.5514581853693182,2.2334540064991405e-05
standard_test_002,standard,gold,jlens,6.5312721946022725,4.198530717329546,0.004773253954464141
standard_test_002,standard,gold,logit_lens,2.948330965909091,2.4708362926136362,0.00022314635117872967
standard_test_003,standard,blue,jlens,3.852627840909091,1.0403053977272727,0.000806481169881883
standard_test_003,standard,blue,logit_lens,1.1898082386363635,-0.0009876598011363637,1.504770022663783e-05
standard_test_003,standard,gold,jlens,6.491299715909091,4.3515625,0.018379616567693182
standard_test_003,standard,gold,logit_lens,3.9862615411931817,3.2438493208451704,0.0012038791256959306
standard_test_004,standard,blue,jlens,3.4779829545454546,0.3235085227272727,0.0009644522113877687
standard_test_004,standard,blue,logit_lens,0.8748446377840909,1.1492697975852273,1.86214080925744e-05
standard_test_004,standard,gold,jlens,6.186434659090909,4.5905539772727275,0.0074360642662158714
standard_test_004,standard,gold,logit_lens,2.4858953302556817,1.8902199485085227,0.0006722769286254356
