prompt_id,anchor,outcome,ordinary_method,jspace_method
standard_test_000,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_001,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_002,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_003,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_004,gen_5,both,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_005,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_006,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_007,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_008,gen_5,neither,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_009,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_010,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_011,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_012,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_013,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_014,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_015,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_016,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_017,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_018,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_019,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_020,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_021,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_022,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_023,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_024,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_025,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_026,gen_5,neither,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_027,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_028,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_029,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_030,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_031,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_032,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_033,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_034,gen_5,neither,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_035,gen_5,neither,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_036,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_037,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_038,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_039,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_040,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_041,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_042,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_043,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_044,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_045,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_046,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_047,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_048,gen_5,neither,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_049,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_050,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_051,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_052,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_053,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_054,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_055,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_056,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_057,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_058,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_059,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_061,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_062,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_063,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_064,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
standard_test_065,gen_5,ordinary_only,public_base_jlens_n1000,public_base_jspace_gp_k16
